web_scraper_order,web_scraper_start_url,Name,price,adress,image_link
"1765122076-124","https://sn.coinafrique.com/categorie/moutons?page=15","Géniteur ladoum","1 200 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/geniteur-ladoum-1232723"
"1765122076-125","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Azawat femelle","250 000CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-femelle-1184273"
"1765122076-126","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","850 000CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1161905"
"1765122076-127","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1149005"
"1765122076-128","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","Prix sur demande","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-1148983"
"1765122076-129","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","1 000 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1146805"
"1765122076-130","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1124971"
"1765122076-131","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1123949"
"1765122076-132","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","Saint-Louis, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1115941"
"1765122076-133","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","200 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1076240"
"1765122076-134","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1051956"
"1765122076-135","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","300 000CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1019265"
"1765122076-136","https://sn.coinafrique.com/categorie/moutons?page=15","Bébé ladoum à vendre","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/bebe-ladoum-a-vendre-1018278"
"1765122076-137","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons Ladoum","Prix sur demande","Medina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-1011179"
"1765122076-138","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-979736"
"1765122076-139","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum mâle","1 200 000CFA","Kaolack, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-male-972890"
"1765122076-140","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoune","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoune-949902"
"1765122076-141","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","600 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-938733"
"1765122076-142","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","5 000 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-893014"
"1765122076-143","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons Ladoum pur sang","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-pur-sang-891173"
"1765122076-144","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton ladoum","1 400 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-886938"
"1765122076-145","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","400 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-832060"
"1765122076-146","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","950 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-827391"
